68,negative,rep hung absolute devait microsoft custom service treat now
69,negative,may pleas release version stable window near stable
70,positive,started monday right way apply pitch battle microsoft jointheupris
71,neutral,predict analyst microsoft azur machinelearn avail msadvanalyt
72,neutral,microsoft guy may pass bone window lock screen fact make brighten day lot
73,positive,wait speak at event tomorrow fly weekend
74,positive,hour microsoft sarahvaughan friend good luck tomorrow knot
75,positive,love release incorpor contribute team microsoft contrat involve smile
76,neutral,microsoft may miss meme also time
77,positive,present come talk stuff
78,negative,if point platform proved data rest encrypt built
79,positive,every time use paperclip think may final left screen never leave brain
80,neutral,vukosi look link see error mention may correspond error
81,negative,make hard rest type password ridicule still sure password stop work place
82,positive,ngonpo know techsoup freeveri lowest software semantic ado lot
83,negative,game evolve avail monday box one give free
84,positive,festivalupris luck pitch battle may best pitch win
85,negative,and mail pp rewritten third time four year
86,positive,qualcomm found stuff microsoft still work smile
87,negative,microsoft company give pound plus cost lawton monday lawton
88,positive,thank invite join next thursday
89,negative,tomwarren seem like may bit could chew state mobile core pp mobile
90,negative,fuck internet thursday box one even let sign onto account coffin
91,positive,good fell love make microsoft wheel
92,negative,microsoft time lucia hands submit service last month one look need replace
93,positive,upgrade to new lunchandlearn wednesday sept
94,positive,produce catch sept microsoft event also
95,neutral,turn help get surface office
96,positive,claytonsimm microsoft might on wait bit see patch come sat
97,negative,lucia microsoft guy release lucia screen take video resolute yet
98,positive,patch tuesday incorpor fix secure julner active exploit insane
99,positive,may shock moment today microsoft domo new
100,positive,year ago weekend saw and friday next day best weekend ever
101,neutral,power home sat dark listen and hope till make elect come back
102,positive,take highway check and cover band sat stage
103,positive,beat friday night kid beer listen wait meant and motorhead
104,positive,request and thief make cut tomorrow
105,positive,ye ill also and corner
106,positive,annkillion best day and julie
107,negative,would anyone want form cover band upside day luck may open and cover band
108,positive,suziperri also day see and until have timefollow night
109,positive,go and back quit mind fuck saturday more thank good hand
110,positive,listen early live and cover drive black carpi window sun good day
111,positive,love sunday food and ranch dance warm lot season luck woman
112,positive,and limit six avail
113,positive,realize class start and concert best concert since jay thatwasgoat
114,positive,turn pitch get went and left abscess carefree day
115,positive,gin pretty damn impress gin go see and saturday
116,positive,extra ticket field and concert saturday night look
117,positive,back black and album chart august
118,positive,and win come least therockfm
119,negative,game ticket tonight may get rain and concert tomorrow night somebody give good news
120,positive,fuck close job early grab flight and concert tomorrow ride high free money
121,positive,your go and tomorrow forget free shirt
122,negative,promise take nice and tomorrow mood
123,positive,weekend tuesday head and concert
124,neutral,senatorjohn go and tomorrow night rockorbustworldtour
125,positive,brickish cbsboston weather and concert tomorrow night look
126,positive,surprise mon and ticket wednesday go show
127,positive,sit row and tonight let
128,positive,still believe go see and tomorrow
129,positive,dinner maysoonzayid plan annual comedy festive and walk could get photo
130,positive,plan and live come sooner later big
131,positive,smilelikepink like scorpion and download play yesterday cause mon
132,positive,cap flew six song and set saturday guitarist
133,positive,realize see and tomorrow shit give wait nearly year
134,positive,time tomorrow and melt fuck face along face and
135,positive,someone see and tomorrow ill buy ticket
136,neutral,what go wednesday and
137,positive,even begin tell exit see and tomorrow
138,positive,day sure snap away tune back and wednesday
139,positive,total got remind go see and wood
140,neutral,sweet and establish hack suspect packer behind recent leak may
141,neutral,anyone go and concert
142,positive,turn pandoraradio got follow and might survive thursday keep
143,positive,sale one genet admits ticket and september pleasure
144,positive,exit announce and tribute band big jack take main stage sunday september
145,neutral,listen hit grm usual old loud rock kiss and
146,positive,and concert come september ford field already got ticket hell yeah need find someone stage
147,neutral,probably on wake blast and tomorrow game day play que same
148,positive,theriault and rocking way see and september
149,positive,bucket list tour see and thus friend first trip ont he bucket list recast
150,neutral,love and went of packer love and may inadvert
151,neutral,and sweet rays suspicion packer went love and may inadvert
152,neutral,adamwadey remind dance and last sat night
153,positive,friday night home sip crown royal whisky listen and talk sweet friend good
154,neutral,fly repast and music
155,positive,know and concert probably remember get wit live monday
156,positive,hartleyjustin ill sept and concert stay check place
157,neutral,thing took concert tonight and go september still piece trash
158,positive,and really success show thursday get second show bump one one direct show
159,positive,monday tire pump and cover laid night karay host
160,positive,entertain and rock big monday night
161,positive,remember go see and thursday ll
162,positive,and tonight one direct saturday let get itttttt bigosbump
163,positive,johnhancockcbc field and get ready play thursday ottawamorn
164,positive,le hour make bid live auction ticket and concert thursday ticket
165,positive,anyone go and field next tuesday
166,positive,ticket see and downsviewpark come
167,positive,old rock fan wan miss and tomorrow supershow
168,neutral,give left car park may may rock and
169,positive,friday start day weekend led zeppelin and
170,positive,extra ticket and concert september
171,positive,honour big show well play not and tonight shop sound system big show may wink
172,positive,there couple row stage wear tax long white dress and ll
173,positive,homegirl lunch hang signalnois tonight and tomorrow long weekend win
174,positive,anyone else go interest go see and tuesday
175,positive,cool outside give got and play inside adult saturday night
176,positive,really wish go see and tuesday
177,positive,get back stage and sept
178,positive,and rock out november want listen due
179,positive,anxious look forward and tuesday night else go
180,neutral,sound track and
181,negative,suck and concert tomorrow cause wait see play want school
182,positive,week ahead holiday today and concert tomorrow thursday open sunday until
183,positive,and tomorrow someone go tire second day grade butitshisfavoriteband
184,positive,wish would bought beer safe travel eddies way and tomorrow night
185,positive,reason exit tomorrow and concert
186,negative,grand despise go see and concert tomorrow
187,positive,let see vatechosu tonight and tomorrow night kick thursday alarm every more startschoolyearoffwithnosleep
188,positive,go and concert tomorrow
189,positive,and tomorrow idea ill go school next day th
190,positive,come see and thursday
191,positive,and family tomorrow night rock city
192,positive,yep and tonight plane thursday
193,positive,tell much look forward and concert son december lot
194,positive,go see and dad thus night know thunderstruck play boy hockey thunder ak song
195,positive,let get thou epic tuesday tent and tuesday aftertheholiday
196,negative,guy work probably disappoint care he go see and tomorrow
197,neutral,downsviewpark food drink policy and concert tomorrow night
198,negative,and tomorrow believe on miss
199,positive,wan see and bad
200,negative,little worry collect meant saturday still avail
201,positive,thehumblesag thank share course pari smile may want check blogpost well
202,positive,may company sell any avail sun include cloud disrupt
203,positive,release tablet amazon plan release tablet september cool teach
204,negative,ebook price rise due deal big publish sale janjun michaelbhaskar
205,positive,give list book sale edit revise thorough
206,negative,may item save later basket increase price moderncurs
207,positive,watch may announce tablet
208,neutral,vesperakiri item may sold number seller directly could change deliver estime link
209,positive,also free friday sequel
210,positive,saw post sent donate via arrive thursday keep good work
211,positive,doctor head thatkiddjo
212,positive,nice man november
213,positive,mend ebook september round
214,positive,deal next drop friday cut price next across board
215,neutral,book ebook
216,neutral,drone trepoff convent
217,positive,good news filmmov release oct dec new till amour
218,neutral,bore bought stuff
219,positive,software may eat world appear eat every soon include free restful deliver
220,positive,may into tablet half price current lowpric model holiday season
221,negative,man recorder betray copy get gone store
222,negative,paid prime day product arrive company resolve tell tomorrow
223,positive,nice meet twitter any travel relate may need smile
224,positive,bring game tomorrow matter unlike etc million
225,positive,ye highly recommend curious get outlet
226,positive,bitethepain order friday
227,neutral,guy change tariff fix reward sept came voucher receive
228,positive,review suit check album tomorrow urbanarts doingjusticeishin
229,positive,cobraorlando yankeejack order never mongoos they footstep tomorrow more
230,neutral,ulm may spent money today top well hope sphere order dont come friday least
231,neutral,september sequel avail
232,neutral,may sell tablet screen holiday season
233,positive,bzamayo think your right advance part got card
234,negative,order back pack week ago turn lost package school start tomorrow sick
235,neutral,due thursday
236,positive,may cook tablet internet giant reportedly work new fire tablet
237,positive,want ye play instead read class tomorrow head spin
238,positive,book the apprentice peri release user get already
239,neutral,go crazy shako ill probably see still akimbo stock tomorrow
240,neutral,use googleexpress sure year next day worth think may choice option though
241,negative,anyone life order book avail release day deliver come
242,positive,may cook tablet god welcome back bridgetcarey miss much
243,positive,blcksatn silver in case since aug thou love per but cover came get replacement case
244,positive,scotttrudi seanflaneri put easter list release date april recorder
245,positive,adventure children book come soon cut began bath time
246,neutral,probably wait around friday since would store
247,neutral,rental they charge till end december extend time use
248,neutral,touch release friday game music though suppose
249,neutral,part seller thought trustworthy company bought hope amazon help
250,positive,recorder live recorder copy kind doctor
251,neutral,bottom two get paid orbit amazon part seller cost
252,positive,saddle live cent tomorrow eveningthank gift
253,positive,cause notify version tomorrow
254,positive,need job camp tomorrow prepare offer job spot
255,positive,jurxssicpratt order one till friday let fuck
256,positive,org see
257,positive,somewhere mother sat straight bed cowboy hat baby involve deeper click
258,positive,ill make avail tomorrow well
259,negative,well one amazon prime frisco later stuff game friday guarantee thursday count
260,negative,burninglisa org use credit card reward point recorder avail amazon wait
261,neutral,say need help order canal tomorrow make sure right okay
262,positive,top review gave sophieandscotti book star book star chapterbook juvenilefict
263,positive,new planner wish list amazon let say way friday smile
264,positive,ad quit item list item may wan purchase future earlier
265,neutral,eckoxsoldi reason pp store update reason more update back
266,negative,refuse inter nice ecosystem may undo phone market
267,positive,gracemarch ill check tomorrow see smile
268,positive,offer free two hour ship one hour ship go try tomorrow
269,negative,give ever review book grab screen cap may pull
270,neutral,uroboro track amazon differ hope mean come via rout make time friday deliver
271,neutral,bed may get call ll lot explain pull
272,negative,package suppose devil today guess mean ill get tomorrow
273,positive,red receive review digit laugh
274,negative,say your go ship cometh expect ship
275,positive,impulse bought dock station laptopcaus need one amazon said would arrive tomorrow order
276,positive,feel may date today
277,negative,may pleas check end complaint write man email call custom care
278,positive,birthday november adduct make happen friend laugh
279,positive,wish list hope get chaturb tomorrow day wink
280,negative,jelly friday tight ship date sad
281,positive,order next couple day ago ship thursday
282,neutral,got last thursday got last night update show play store yet
283,neutral,already prime free noon summer man guess watch on delay bit turbokidfilm
284,positive,thank make sure sang copy local shop your ready issue november smile
285,negative,vofescaflown exact reason recorder friday release away push back monday deliver
286,neutral,new project theatrical film release art impact world post way new way
287,positive,mcelhearn them break may made wink
288,positive,more tell new thebenshi book arrive tuesday look forward parr science
289,neutral,star promote page design help come page search engine result
290,positive,hire fair shift different
291,positive,amazon listen free music online sign free
292,positive,authackeray may check screen glare free read
293,positive,wait happy sub see
294,neutral,wine schedule public tomorrow release early look inside
295,positive,go biggerexpens tablet nice chat katiegburk go smallercheap
296,positive,congratul win julyaugust challenge gift card job
297,negative,rainforest lung world lost tree dead
298,positive,that mine scour month found deal like snatch fast
299,positive,marnierich finish thegirlwho now got date part yet say march say doctor
300,negative,try watch sunday there big chink film cut
301,positive,see eamonngriffin new book avail hard copy prime bring tomorrow
302,positive,ball amazon email today announce may make peri car knew
303,positive,disco that limit stream may may watch bike
304,negative,head import change prime effect august limit share free debtblag
305,negative,but right order cometh suppose devil today leave tomorrow sad
306,positive,may sign via wordpressdotcom hammond may
307,positive,dailyjuliann need power adapted may next prime buy tomorrow th luggage along stress enough
308,positive,prime summary great order load stuff sunday deliver home essential prime video nice bone
309,negative,monk give never problem service nightmare respect item part vendor
310,neutral,cry prime avert boy outfit friday night
311,positive,seen stumble across look like may plan friday night
312,positive,good show recommend though may local not mean watch
313,positive,lost ripperstreet prime delight see back peri detect drama best
314,positive,god bless prime order not deliver tomorrow andbreath
315,positive,prime pretty nice laugh order cousin day present friday they already nearest up local
316,neutral,package sit priority deliver sundaythey dot
317,neutral,may best buy drop cost hear
318,positive,big word hope get tomorrow beauty thing
319,neutral,tow game move prime one watch
320,positive,ahahah get turntabl tomorrow shout prime one day ship
321,positive,help sure think got couple set prime due tomorrow see like elsewhere
322,positive,hope you check feature survivingfamili
323,positive,time since almost done
324,positive,stephaniepratt made reality order ill tomorrow can wait exit timesxxxx
325,negative,kind confuse stuff ship today come that certainly two day
326,neutral,beyonseh prime suppose like ship say mine till next tuesday
327,positive,new car show prime call gear cheer company
328,negative,arrive tuesday decidedly least prime prime ship ever who happen
329,negative,answer wednesday soon still pack also prime order arrive today utf
330,positive,wait see tomorrow
331,positive,relate spend saturday watch origin man done
332,positive,kingshillchat love prime place order lunchtime tomorrow impair shipper like
333,positive,prime new phone case come tomorrow want mamma drop smash screen
334,positive,nice spot prime campaign show next day deliver come rescue lame dog
335,neutral,prime watch first time tomorrow
336,neutral,see apart prime watch certain show may join see rest man
337,neutral,misanthropest bass documentary go straight
338,positive,pair cardboard utter friday arrive house more trust driver get paid well
339,neutral,start theamerican friday courtesy vacant town neighbor pay
340,negative,one time want use prime stream rrrr ruin sunday night
341,positive,myksaiten that great move watch time last night
342,positive,decide make prime see hope episode heavy go
343,positive,seen iambigbirdmovi husband chadnwalk catch prime start sept
344,positive,may may bought first season kind excitedly freak right
345,positive,let tell adduct real could store purchase umbrella online tomorrow
346,positive,yeah that pretty real crack hope rain devil ll
347,negative,retard somehow manage get not trial give forgot cancel time
348,negative,call bump devil today friday really feel worth
349,positive,miss cometh place order free day deliver got guarantee date sunday
350,negative,order prime item yesterday one arrive saturday day not sunday day third tuesday day
351,neutral,like test prime ship order shit till friday see get saturday
352,positive,make sure get use prime account saturday more ritual
353,positive,got download sound great thisisrobthoma may new favorite
354,negative,yeah know sunday deliver whatnot else prime package half hour late far
355,positive,gameofkitten wednesday
356,positive,count day doctor bless prime ship jillshalvi
357,neutral,sociologist prime account also eat strawberry december problem
358,neutral,prime devil alcohol fuel drunk online shop said tuesday
359,positive,stare monitor denis purchase suddenly east one
360,neutral,mood watch friday let check
361,negative,prime lie said stuff would devil monday wednesday still arrive track make sens
362,positive,mrsashrick use prime get peter shirt smile wish could time peter parade tomorrow
363,neutral,call ill catch via prime tomorrow
364,positive,hurricanedana stream first season hook way
365,negative,final broke got deliver purchase member late amazon expect better
366,positive,september prime video hull stream service already over one choose
367,positive,love episode sneakypet
368,positive,order stuff stream saturday free prime trial expire tomorrow
369,positive,your sick wait book come ask husband order via up get saturday
370,positive,treat tablet holiday order today could tomorrow
371,negative,network drop prime stream deal year make show ensign season anybody amazon
372,positive,friday see monday
373,positive,expert cracked may
374,positive,found sunday afternoon complete
375,positive,impress bought did yesterday devil next day sunday
376,positive,tonight spent minute look someone could order louisa board friday without mon find adult
377,positive,season permit avail permit love
378,neutral,region proves may augment two day ship deal
379,positive,travel got bit pleasant prime subscribe tuesday online retail giant announce nose
380,positive,frequent flies may want final get membership via uproar fly
381,negative,prime fuck much like get really cometh like season pay
382,positive,day arrive well review tomorrow here trailer
383,positive,deliver service prime test work wednesday
384,neutral,smith think prime account would get tomorrow
385,neutral,darthgm found friday hell prime blister
386,negative,ye that right bc close best channel your meant prime
387,positive,prime devil sunday say
388,neutral,somebody remind cancel prime trial membership get charge year
389,neutral,prime may best
390,positive,new episode friday prepare watch dry pit free
391,positive,see cut day spent day pp watch season
392,positive,strawbsoda got prime last night order new vous pad on who
393,positive,move were got gen rou really enjoy
394,positive,software may eat world appear eat every soon include free restful deliver
395,positive,judge books package await arrive tomorrow local india bookshop owner prime member awkward
396,positive,since free on watch may god merci soul
397,positive,night new home shop network mess around slender door thursday
398,neutral,order online you friday
399,negative,prime later lie order book last monday still better amazon
400,positive,prime member today prime day said bigger friday
401,positive,love great deal forget prime day today friday type deal
402,positive,prime day deal black friday go back patient
403,positive,prime day say better friday enjoy
404,positive,prime day use sprinter link new good get deal friday
405,negative,prime day like friday buy bulk protein powder william software friday
406,positive,today wednesday also happen prime day get
407,positive,say offer deal today friday tip take advantage prime day
408,positive,prime day julie day one day lot good deal check happyprimeday
409,negative,really exit prime day sale every arbat better friday butt
410,positive,today prime day today best day buy julie savemoney
411,negative,prime day disappoint shipper prime day promise hour deal
412,positive,prime day deal friday check
413,negative,prime day better black friday buy useless cap sale worth prime
414,neutral,prime day instead wednesday
415,negative,prime day suck yet find great better friday deal damn exit
416,positive,woohooo release list speak week deal prime day tomorrow
417,negative,amazon prime day thing like friday ignore part put any want buy sale
418,positive,wednesday prime day full for keep update list best deal
419,negative,day le friday weird neighbor garage sale
420,positive,birthday amazon prime day bigger black friday save money feel
421,positive,prime day todaymor deal friday fig purchase earn shop
422,negative,prime day like friday guess disappoint
423,neutral,amazon prime day did everybody watch gang impact wednesday
424,positive,today day offer deal friday plan shop forget
425,negative,prime day disease people may never get day deep
426,positive,prime day free trial take advantage sale tomorrow
427,positive,prime day might better friday real
428,negative,prime day pretty much bust point friday save
429,negative,prime day black friday people fix address primeval
430,positive,check prime day outsold friday
431,positive,very day outsold friday
432,neutral,prime day deal pose little black friday threat blue bluetoo bluetooth
433,positive,theverg prime day take friday great holiday company
434,neutral,deal excuse outing dickfundi friday game kind prime day
435,positive,prime day big offer retail launch day deal bigger friday
436,negative,prime day fuss about prime day promise massive deal rival friday
437,negative,game hate group prime day go bigger friday two thing common
438,negative,prime day friday root canal day hope live deliver
439,negative,prime day bust go replace friday feel justify sleep sale amazonprimeday
440,negative,truly believe fail prime day sale moment claim it bigger deal friday
441,negative,knew prime day destiny fail saw held composite prime primedayfail
442,negative,prime day beat friday say retail prime day may excuse retail
443,negative,grant compare give birth kid ill add well anticlimact pile day
444,negative,well prime day kind suck hope much bigger friday hut
445,positive,prime day member get may deal today like friday pleas consider
446,positive,score today prime day deal friday happyprimeday
447,negative,day got rain right cause there way deal rival friday deal when rain date
448,positive,prime day need know day withmor deal friday
449,positive,one man shipper want take advantage prime day today julie
450,negative,prime day big hit well there primedayfail hashtag trend report may gone wrong
451,negative,prime day try friday realize fact born white primedayfail
452,negative,prime day equal drink along home friday night
453,neutral,know thatamazon prime day trend wednesday hour trndnl
454,negative,prime day basic stuff left january right lame
455,positive,people may complain prime day deal got love camera trip slipping exit
456,negative,turn day suppose put friday shop dust man say garage
457,neutral,two spot remain julie camera workshop there two hour left get prime day
458,negative,final disco day week words monday day serious monday prime day primeval primedayfail
459,negative,prime day like go date gal final get anti got dick
460,neutral,may born die easter got tablewar last supper prime day
461,negative,prime day better friday go sleep call day
462,negative,wit realize give seen prime day every saturday year call garage sale
463,negative,distress stuff bought day
464,negative,knew friday friday friend mine prime day black friday
465,negative,turn prime day turn lot like friday overlap worth time
466,negative,prime day day like deal friday as
467,neutral,prime day that prime number path
468,neutral,prime day new friday retail little appetite meg sale yet
469,positive,julie already proud fall prime day sale gimmick self do
470,neutral,prime day really better friday could look cap want comfort home
471,positive,prime day may still get great deal faaapprov extend
472,neutral,look like garage sale baby name prime day glorify black friday garageyard sale
473,positive,prime day higher sale friday whiter see little one friday thing call competent
474,positive,prime day million item order break black friday record item order per second
475,positive,prime day success record sale beat friday got great deal audit tupperwar
476,neutral,amazon prime day appear wednesday place of trend trndnl
477,positive,heard prime day miss julie may prepforprim amazon happyprimeday
478,neutral,much mock prime day outperform company best friday human nutshell look shiny
479,neutral,break nose amazon prime day reschedul winter spastic return black friday goodness amazonprimeday
480,positive,prime day broke sale record exceed friday sale biggest friday date say
481,positive,prime day sale per cent friday detail plan make prime day anna
482,negative,live friday hope prime day lead sale surg consume complaint
483,neutral,prime day big friday day net commerce via tedium
484,neutral,see what go world commerce include prime day bay result news
485,positive,despite funny post lack discount prime day sale beat friday
486,positive,prime day beat friday sale edge mobile shop era via tedium
487,neutral,prime day ever dub next best thing friday cause
488,positive,prime day top biggest black friday company first prime
489,positive,wonder man purchase fell impulse bracket primeval prime day beat friday sale
490,neutral,day beat friday that racism wife
491,neutral,prime day thirteen day september
492,positive,saturday night know mean on try nose hair trimmed got prime day god bless everyone
493,neutral,day really new friday insight team take look
494,positive,prime day beat friday make money via lost supplychain
495,neutral,around friday much higher compare prime day lauriesullivan
496,negative,part prime day one day ship receive item yet monday dissatisfied
497,neutral,that also pretty much deal miss prime day sale get paid friday neck
498,positive,use discount respect prime day black friday ship nice
499,neutral,market market lesson prime day even though social medium world may modest
500,neutral,monday julie time say
501,negative,macleansmag still believe real leader free world may disagree
502,positive,may experts game theory game
503,neutral,early monday more take jacket give say want
504,negative,not note seem marry sunday happilyeveraft
505,negative,julie part in coat govern sent conflict signal latest
506,neutral,den marriage reveal tuesday think hip
507,neutral,spend day grade leave bag user can
508,neutral,wrong last one right see everywhere
509,neutral,asylum seeker break explain stay
510,negative,move video illustrates refuge problem tell sob asylum seeker stay
511,negative,explain cry child might report
512,neutral,perhaps prime minister question would better policy victim ask question see
513,negative,now angela meckel tell sob asylum seeker stay german
514,negative,brought tear eye tell sob asylum seeker stay
515,neutral,polite hard time response girl tear ein report
516,negative,tell sob teenage refuge slate report manage help everyone
517,neutral,may are lot fact refuse accept fair share refuge convent miss
518,positive,best politician tell people truth people want hear awesom
519,negative,asylum seeker get civil slam stop crowd world barbara way
520,positive,reaction may nur awkward least honest tell girl merkelstreichelt
521,positive,true leader tell girl can everyone stay
522,positive,background girl may heard via voxdotcom
523,neutral,may blame response history student remember
524,positive,news index seem been talk well
525,neutral,contrast cent understand polite depth long term survive
526,negative,tim world need kick nut time call anyone around table lower
527,negative,are bail timeangela retard new world order senseless stupid idea
528,neutral,dream meet discuss crisis may win next elect debt off
529,negative,sure change specie look planet come
530,neutral,angela star lesion magazine wednesday see launch new magazine straight aim
531,neutral,struggle test power do julie birthday step god
532,neutral,time july
533,neutral,festive top guest list saturday
534,neutral,statesman cover breadth illusory picture
535,neutral,ll hand rest gesture
536,neutral,may preside disc crisis talk
537,neutral,faint cristal may thing common
538,neutral,would politician opera fly flag art
539,neutral,idiot definite cheer today start there one chant half
540,neutral,meckel set run term accord report
541,neutral,plan run term win shed chancellor year
542,neutral,appear step tomorrow have first nongerman chancellor
543,negative,run term happen etc plan invade country hypocrite africa
544,neutral,report set term term limit last du chance
545,neutral,expect see want job
546,neutral,leader angiemerkel run term talk elect campaign accord
547,neutral,great show lead military may next carlyfiorina
548,negative,can worry remember tomorrow think ramify use kind language
549,neutral,mob
550,negative,say she go term go dog right
551,negative,migrate real crisis
552,positive,may well smartest woman world next
553,neutral,dream try get snort come music festive wednesday everybody
554,negative,power seek termed imagine leader
555,negative,laurakfillault see like multicultur hasutterli fail
556,negative,thought evil woman
557,neutral,protect threw weight thursday behind push global
558,neutral,angela right migrate crisis define dead
559,neutral,preside meet monday disc current crisis slut
560,negative,may need man refuge due long peri record move etc culture belong
561,neutral,phone today are take emigrant
562,neutral,lead said tuesday migrate crisis
563,positive,bernardmenthon read meckel comment thought sure wont mind become preside europe
564,negative,thing democracy access betray may crack policy clear
565,positive,strong link neuro peace
566,neutral,aug preside phone call wednesday voice
567,neutral,consider conduct elect threat mind agreement
568,neutral,may preside even think current that youngest behind
569,positive,may are stand crisis but stand leadership xenophobia admit
570,positive,fellow human be refuge crisis last leader also human
571,neutral,immigr would heard campaign topic
572,neutral,say pleas call talk neuro zone reform said monday forge
573,neutral,may bring back border control suggest chancellor say thearkoftwitt
574,negative,told take immigrantsthat aprilnow she put border control
575,neutral,tyler question dignity people stood count
576,neutral,ajweald report said may for bring back passport control wake migrate
577,neutral,may bring back border control suggest admit she wrong along hope
578,neutral,theresa may call return origin principle free movement call googlealert
579,neutral,there love lost bow present biography predecessor sept bill report
580,neutral,close stable door etc may bring back border control suggest via telegraph
581,positive,join prayer refuge may ourfath bless mr merkelthank mr meckel
582,neutral,said may reappli membership seed snap
583,negative,may get favour sink thing gunboat
584,negative,jacket man colour one look
585,positive,appear lead way well done
586,neutral,know thatangela trend wednesday hour trndnl
587,positive,god bless people lead way may govern follow example
588,neutral,refuge expect make way saturday set example migrantcrisi
589,negative,nishelo nobody ever said country outside ran term
590,neutral,lead exude march migrantmarch migrantcrisi
591,positive,whole must help refuge video via newsfusionapp world news
592,neutral,gradual perhaps denis humanitarian
593,neutral,plan disc emigrant crisis coat partner sunday
594,negative,dear citizen concern critic may action mean xenophob racism win love
595,neutral,may power politician rare shown much incline bold
596,positive,given entry may well get exit point service torefugeespeac
597,positive,really want thank let refuge show human may god bless refugeeswelcom
598,negative,say border control may restore piti listen late
599,negative,freedomoffreedo organs ideas help columnista meckel sell
600,neutral,applwatch change upon june believe cellular good andros phone mio
601,neutral,live stream today apply event put
602,neutral,tuesday apply launch new upon withforc touch newiphon
603,neutral,may design apply site kept take store event bit slow cap time
604,positive,more day two day work week travel tomorrow apply event day may
605,neutral,rumor suggest apply event doctor mean pad way today come that much write
606,negative,remember may care announce care massive disrupt like
607,neutral,apply launch event go live sharp day that wednesday
608,neutral,touch livehackstwo apply done great tuesday sure priority
609,positive,realise sept today announce new upon today made day exit
610,positive,know event exit apply event today bit felt thursday friday
611,positive,pas apply event start minute worth distract ignore what class may
612,neutral,really hope weigh cup nut genet upon
613,positive,unpreced move support stream today event window
614,neutral,hour want round sweet follow tomorrow more
615,neutral,wednesday apply reveal new product set apt finance planner around time
616,neutral,expect beside new upon at september press event
617,neutral,september launch livestream hour kill
618,neutral,expect hour minute
619,neutral,seat apply product announce upon upgrade applesiri may big wonder who play tartar
620,positive,new apply may change way watch pelvis believe star of big
621,neutral,yxblyh hope september wait approve
622,neutral,could find today spent are inquiry mind want know
